Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,Category
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761174837.jpg,Playbac Sticker Book: Baby Animals,Eyelike,Paperback,5.0,5.49,5.95,9780761174837,Stationery
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9413/9780941355513.jpg,Good Questions for Math Teaching,Pat Lilburn,Paperback,4.0,17.57,25.2,9780941355513,Teaching-Resources-Education
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7595/9780759531086.jpg,"Spice and Wolf, Vol. 4 (light novel)",Isuna Hasekura,Paperback,4.5,10.91,12.4,9780759531086,Graphic-Novels-Anime-Manga
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3494/9780349406428.jpg,The Perfect Girl,Gilly MacMillan,Paperback,3.5,5.78,11.4,9780349406428,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4494/9781449481018.jpg,Bitter Sweet Love,Michael Faudet,Paperback,3.5,10.42,15.0,9781449481018,Poetry-Drama
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5881/9781588167231.jpg,Popular Mechanics Complete Car Care Manual,Popular Mechanics,Paperback,3.5,19.25,19.6,9781588167231,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4466/9780446676670.jpg,Ten Days to Faster Reading,Abby Marks-Beale,Paperback,4.0,13.51,18.0,9780446676670,Reference
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6262/9781626256224.jpg,The Intuitive Eating Workbook,Evelyn Tribole,Paperback,4.5,20.5,21.1,9781626256224,Medical
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7853/9781785301827.jpg,Sean Cavanagh: The Obsession,Sean Cavanagh,Hardback,4.0,20.17,31.3,9781785301827,Sport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473666672.jpg,Journeys to the Other Side of the World,Sir David Attenborough,Paperback,4.5,10.39,13.9,9781473666672,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4516/9781451621297.jpg,Star Trek,Ben   Riley Robinson,Hardback,4.0,26.66,34.5,9781451621297,Reference
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0082/9780008249090.jpg,The Times Britain's Hidden Railways,Julian Holland,Hardback,4.0,32.51,36.5,9780008249090,Transport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7472/9780747245780.jpg,Peat Smoke and Spirit,Andrew Jefford,Paperback,4.0,12.84,13.9,9780747245780,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8532/9781853264856.jpg,The Prophet,Kahlil Gibran,Paperback,4.0,4.27,5.0,9781853264856,Poetry-Drama
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9023/9781902304885.jpg,Charcuterie and French Pork Cookery,Jane Grigson,Hardback,4.0,14.93,18.0,9781902304885,Food-Drink
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9333/9781933339269.jpg,The Complete Writer,Susan Wise Bauer,Paperback,4.0,26.48,30.4,9781933339269,Dictionaries-Languages
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0075/9780007529902.jpg,Bird Box,Josh Malerman,Paperback,4.0,9.92,11.5,9780007529902,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4143/9781414386782.jpg,First,Rich  Davefroning Castro,Paperback,4.0,11.18,15.0,9781414386782,Biography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3494/9780349405209.jpg,The Gentle Sleep Book,Sarah Ockwell-Smith,Paperback,4.0,8.39,17.0,9780349405209,Health
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330520300.jpg,The Sixth Man,David Baldacci,Paperback,4.0,9.73,11.4,9780330520300,Crime-Thriller
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5947/9781594744426.jpg,Sense and Sensibility and Sea Monsters,Jane Austen,Paperback,3.5,11.96,13.9,9781594744426,Humour
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7865/9781786570802.jpg,Lonely Planet Mexico,Lonely Planet,Paperback,4.0,20.71,23.0,9781786570802,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4722/9781472232335.jpg,The Artist: Being Iniesta,Andres Iniesta,Paperback,4.0,9.63,13.9,9781472232335,Sport
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0620/9780062088413.jpg,I Am Maru,Mugumogu,Hardback,4.0,11.65,12.4,9780062088413,Natural-History
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4091/9781409156710.jpg,Alan Partridge: Nomad,Alan Partridge,Paperback,4.0,8.77,11.4,9781409156710,Humour
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/8995/9783899555738.jpg,London: Monocle Travel Guides,Monocle,Hardback,4.0,16.13,18.0,9783899555738,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0717/9780071753821.jpg,"Practice Makes Perfect Italian Pronouns And Prepositions, Second Edition",Daniela Gobetti PH.D.,Paperback,4.5,13.35,15.0,9780071753821,Dictionaries-Languages
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4736/9781473680517.jpg,The Skin Nerd,Jennifer Rock,Hardback,4.0,19.51,21.5,9781473680517,Health
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7822/9781782215752.jpg,Kawaii: How to Draw Really Cute Stuff,Angela Nguyen,Paperback,4.5,10.69,11.4,9781782215752,Art-Photography
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4053/9781405337465.jpg,Karlology,Karl Pilkington,Paperback,4.0,10.26,12.9,9781405337465,Humour
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099507130.jpg,Bright Earth,Philip Ball,Paperback,4.0,18.07,21.1,9780099507130,Technology-Engineering
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/1194/9781119411895.jpg,Millionaire Expat,Andrew Hallam,Paperback,4.5,13.41,19.7,9781119411895,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4514/9780451494528.jpg,My Twenty-Five Years in Provence,Peter Mayle,Hardback,4.0,16.5,25.2,9780451494528,Travel-Holiday-Guides
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8448/9781844883783.jpg,Pippa,Pippa O'Connor,Hardback,3.5,20.7,21.1,9781844883783,Home-Garden
