Image,Title,Author,Format,Rating,Price,OldPrice,ISBN,CatID,BookID,Year,Position,Status,Description
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8548/9781854862327.jpg,Milling,Harold Hall,Paperback,3.5,7.83,10.3,9781854862327,cat08,book05311,1994/03/17,5311,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4862/9780486268200.jpg,William Morris Giftwrap Paper,William Morris,Paperback,0.0,5.14,6.2,9780486268200,cat08,book05312,1983/03/23,5312,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8635/9781863514200.jpg,Needle Painting Embroidery,Trish Burr,Paperback,4.5,18.99,24.0,9781863514200,cat08,book05313,2008/07/08,5313,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4864/9780486472188.jpg,Alice Starmore's Book of Fair Isle Knitting,Alice Starmore,Paperback,4.5,18.32,26.5,9780486472188,cat08,book05314,1983/05/18,5314,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7871/9781787131835.jpg,Breaking the Pattern,Saara Huhta,Paperback,4.5,25.93,31.5,9781787131835,cat08,book05315,2000/07/20,5315,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4463/9781446302446.jpg,Tilda's Spring Ideas,Tone Finnanger,Paperback,4.0,8.41,10.3,9781446302446,cat08,book05316,2008/03/30,5316,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6070/9781607050087.jpg,Practical Guide To Patchwork,Elizabeth Hartman,Paperback,4.0,18.83,30.9,9781607050087,cat08,book05317,1986/08/14,5317,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3853/9780385345057.jpg,Paper To Petal,Rebecca Thuss,Hardback,4.5,21.64,25.2,9780385345057,cat08,book05318,1974/10/23,5318,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7704/9780770434946.jpg,"Sew Many Dresses, Sew Little Time",Tanya Whelan,Paperback,4.0,24.16,30.9,9780770434946,cat08,book05319,2002/02/08,5319,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405924092.jpg,The Magical City,Lizzie Mary Cullen,Paperback,4.0,12.65,12.9,9781405924092,cat08,book05320,1998/10/20,5320,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4547/9781454701378.jpg,The Complete Book of Crochet Stitch Designs,Linda P. Schapper,Paperback,4.5,16.76,18.0,9781454701378,cat08,book05321,2005/06/14,5321,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761139850.jpg,Stitch 'n Bitch Crochet: The Happy Hooker,Debbie Stoller,Paperback,4.0,13.89,14.95,9780761139850,cat08,book05322,1998/05/29,5322,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7153/9780715336663.jpg,Crafting Tilda's Friends,Tone Finnanger,Paperback,4.0,9.81,11.4,9780715336663,cat08,book05323,1980/06/18,5323,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509834860.jpg,How to Hygge,Signe Johansen,Hardback,3.5,14.82,19.1,9781509834860,cat08,book05324,1996/05/27,5324,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9075/9781907563065.jpg,Cute & Easy Crochet,Nicki Trench,Paperback,4.0,14.05,16.0,9781907563065,cat08,book05325,1977/09/25,5325,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4463/9781446305904.jpg,Tilda Homemade & Happy,Tone Finnanger,Paperback,4.0,16.54,20.1,9781446305904,cat08,book05326,1990/02/12,5326,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8440/9781844034741.jpg,The Leatherworking Handbook,Valerie Michael,Paperback,4.0,16.32,19.6,9781844034741,cat08,book05327,1997/12/25,5327,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6176/9781617690754.jpg,Gertie's Ultimate Dress Book:A Modern Guide to Sewing Fabulous Vi,Gretchen Hirsch,Hardback,4.5,24.24,33.5,9781617690754,cat08,book05328,2000/03/19,5328,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5652/9781565237728.jpg,Little Book of Whittling,Chris Lubkemann,Paperback,4.0,10.39,13.9,9781565237728,cat08,book05329,2002/12/08,5329,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8461/9781846145209.jpg,Finish This Book,Keri Smith,Paperback,4.0,17.54,21.1,9781846145209,cat08,book05330,2012/04/14,5330,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7153/9780715337561.jpg,Two from One Jelly Roll Quilts,Pam Lintott,Paperback,4.0,15.25,16.99,9780715337561,cat08,book05331,1996/04/10,5331,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7822/9781782215257.jpg,Crewel Creatures,Hazel Blomkamp,Paperback,4.5,18.25,20.1,9781782215257,cat08,book05332,1973/10/19,5332,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7802/9781780289298.jpg,Play the Forest School Way,Jane Worroll,Paperback,4.0,13.87,15.99,9781780289298,cat08,book05333,2006/04/15,5333,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5806/9781580626873.jpg,The Everything Kids' Puzzle Book,Jennifer A. Ericsson,Paperback,4.0,7.61,11.4,9781580626873,cat08,book05334,1982/09/21,5334,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780679532.jpg,The Flower Year,Leila Duly,Hardback,5.0,11.75,12.5,9781780679532,cat08,book05335,2014/05/09,5335,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4463/9781446303313.jpg,Tilda's Fairy Tale Wonderland,Tone Finnanger,Paperback,4.0,16.9,20.1,9781446303313,cat08,book05336,2021/08/16,5336,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8610/9781861086709.jpg,Knitted Wild Animals,Sarah Keen,Paperback,4.5,14.22,18.0,9781861086709,cat08,book05337,1998/08/15,5337,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3074/9780307449443.jpg,Socks From The Toe Up,Wendy D. Johnson,Paperback,4.0,15.26,25.2,9780307449443,cat08,book05338,2009/05/17,5338,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9573/9780957314832.jpg,Colour Me Good Ryan Gosling 1,Mel Elliott,Paperback,3.5,8.42,10.5,9780957314832,cat08,book05339,1988/10/17,5339,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4402/9781440241468.jpg,The Farmer's Wife 1930s Sampler Quilt,Laurie Aaron Hird,Paperback,4.0,22.67,26.5,9781440241468,cat08,book05340,1979/07/11,5340,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9034/9781903458587.jpg,Making Waldorf Dolls,Maricristin Sealey,Paperback,4.5,16.09,18.0,9781903458587,cat08,book05341,1983/04/23,5341,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8230/9780823015047.jpg,Little Felted Animals,Marie-Noelle Horvath,Paperback,4.0,8.21,13.9,9780823015047,cat08,book05342,1983/11/21,5342,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6118/9781611804720.jpg,A Year of Embroidery,Yumiko Higuchi,Paperback,4.5,14.21,18.0,9781611804720,cat08,book05343,2001/03/21,5343,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6176/9781617691751.jpg,The Modern Natural Dyer,Kristine Vejar,Hardback,4.5,20.91,23.0,9781617691751,cat08,book05344,2000/01/05,5344,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7824/9781782434436.jpg,The Art Therapy Colouring Book,Richard Merritt,Paperback,4.0,10.86,11.28,9781782434436,cat08,book05345,1993/04/06,5345,Available,
https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0072/9780007232741.jpg,The Dangerous Book for Boys,Conn Iggulden,Hardback,4.0,23.04,24.0,9780007232741,cat08,book05346,2004/05/09,5346,Available,
